🙂 slight_smile
🙃 upside_down
😇 halo
😌 content
😉 wink
😀 grinning
😃 smiley
😄 smile
😅 sweat_smile
😁 grin
😆 laughing
😂 joy
🤣 rofl
😛 stuck_out_tongue
😜 wink_tongue
😝 closed_eyes_tongue
😋 yum
🤤 drooling
🥳 party_face
😳 flushed
😊 blushing
☺️ relaxed
🤗 hugging_face
😗 kiss
😙 happy_kiss
😚 blush_kiss
😘 blowing_a_kiss
🥰 smile_hearts
😍 heart_eyes
🤩 starry_eyes
🤑 money_face
􁚗 headpats
😶 face_without_mouth
😐 neutral_face
🙂‍↔️ head_shaking_horizontally
🙂‍↕️ head_shaking_vertically
😒 unamused
😏 smirk
🤔 thinking
🤫 shush
🤭 hand_over_mouth
🫢 hand_over_mouth_open_eyes
🤐 zippy_face
🥱 yawn
🫡 saluting_face
🤨 raised_eyebrow
😬 grimace
🧐 monocle
🥸 disguised_face
🤥 lying_face
🙄 rolling_eyes
😵 dead
😵‍💫 dizzy_face
🫨 shaking_face
🥴 woozy
🤪 crazy
🤯 mind_blown
🫠 melting_face
😮 open_mouth
😲 astonished
😯 hushed
😦 frown_open_mouth
😧 anguished
🥺 pleading
😟 worried
😨 scared
😰 cold_sweat
😱 scream
😩 weary
😫 exhausted
😮‍💨 exhale
😪 sleepy
😴 asleep
😑 expressionless
😥 disappointed_but_relieved
😓 sweat
😕 unsure
🫤 diagonal_mouth
🙁 slight_frown
☹️ frown
😔 pensive
😞 disappointed
😣 persevering
😖 confounded
🥲 smile_with_tear
🥹 holding_back_tears
😢 crying
😭 sob
🫥 outline_face
😶‍🌫️ face_in_clouds
🤕 bandaged
😷 medical_mask
🤧 sneeze
🤒 face_with_thermometer
🤢 nauseous
🤮 vomiting
🥵 hot
🥶 cold
😤 triumph
😠 angry
😡 very_angry
🤬 swearing
😎 sunglasses_face
🤓 nerd
🤠 cowhand
💩 poop
􁚐 flaming_poop
😈 imp_devious
👿 imp_angry
😺 cat_grin
😸 cat_smile
😹 cat_joy
😼 cat_devious
😾 cat_pouting
😿 cat_crying
😽 cat_kiss
😻 cat_heart_eyes
🙀 cat_scream
􁚜 cat_blep
🤖 robot
👾 alien_monster
👽️ alien
👻 ghost
💀 skull
☠️ skull_and_crossbones
🎃 jack_o_lantern
🤡 clown
👺 tengu_mask
✋ hand_hmn
✋􁘀 hand_hmn_r1
✋􁘁 hand_hmn_r2
✋􁘂 hand_hmn_r3
✋􁘃 hand_hmn_d1
✋􁘄 hand_hmn_d2
✋􁘅 hand_hmn_d3
✋􁘆 hand_hmn_o1
✋􁘇 hand_hmn_o2
✋􁘈 hand_hmn_o3
✋􁘉 hand_hmn_y1
✋􁘊 hand_hmn_y2
✋􁘋 hand_hmn_y3
✋􁘌 hand_hmn_l1
✋􁘍 hand_hmn_l2
✋􁘎 hand_hmn_l3
✋􁘏 hand_hmn_g1
✋􁘐 hand_hmn_g2
✋􁘑 hand_hmn_g3
✋􁘒 hand_hmn_t1
✋􁘓 hand_hmn_t2
✋􁘔 hand_hmn_t3
✋􁘕 hand_hmn_c1
✋􁘖 hand_hmn_c2
✋􁘗 hand_hmn_c3
✋􁘘 hand_hmn_s1
✋􁘙 hand_hmn_s2
✋􁘚 hand_hmn_s3
✋􁘛 hand_hmn_b1
✋􁘜 hand_hmn_b2
✋􁘝 hand_hmn_b3
✋􁘞 hand_hmn_v1
✋􁘟 hand_hmn_v2
✋􁘠 hand_hmn_v3
✋􁘡 hand_hmn_m1
✋􁘢 hand_hmn_m2
✋􁘣 hand_hmn_m3
✋􁘤 hand_hmn_p1
✋􁘥 hand_hmn_p2
✋􁘦 hand_hmn_p3
✋􁘧 hand_hmn_e1
✋􁘨 hand_hmn_e2
✋􁘩 hand_hmn_e3
✋􁘪 hand_hmn_k1
✋􁘫 hand_hmn_k2
✋􁘬 hand_hmn_k3
✋🏿 hand_hmn_h1
✋🏾 hand_hmn_h2
✋🏽 hand_hmn_h3
✋🏼 hand_hmn_h4
✋🏻 hand_hmn_h5
🖐️ hand_splayed_hmn
🖐️􁘀 hand_splayed_hmn_r1
🖐️􁘁 hand_splayed_hmn_r2
🖐️􁘂 hand_splayed_hmn_r3
🖐️􁘃 hand_splayed_hmn_d1
🖐️􁘄 hand_splayed_hmn_d2
🖐️􁘅 hand_splayed_hmn_d3
🖐️􁘆 hand_splayed_hmn_o1
🖐️􁘇 hand_splayed_hmn_o2
🖐️􁘈 hand_splayed_hmn_o3
🖐️􁘉 hand_splayed_hmn_y1
🖐️􁘊 hand_splayed_hmn_y2
🖐️􁘋 hand_splayed_hmn_y3
🖐️􁘌 hand_splayed_hmn_l1
🖐️􁘍 hand_splayed_hmn_l2
🖐️􁘎 hand_splayed_hmn_l3
🖐️􁘏 hand_splayed_hmn_g1
🖐️􁘐 hand_splayed_hmn_g2
🖐️􁘑 hand_splayed_hmn_g3
🖐️􁘒 hand_splayed_hmn_t1
🖐️􁘓 hand_splayed_hmn_t2
🖐️􁘔 hand_splayed_hmn_t3
🖐️􁘕 hand_splayed_hmn_c1
🖐️􁘖 hand_splayed_hmn_c2
🖐️􁘗 hand_splayed_hmn_c3
🖐️􁘘 hand_splayed_hmn_s1
🖐️􁘙 hand_splayed_hmn_s2
🖐️􁘚 hand_splayed_hmn_s3
🖐️􁘛 hand_splayed_hmn_b1
🖐️􁘜 hand_splayed_hmn_b2
🖐️􁘝 hand_splayed_hmn_b3
🖐️􁘞 hand_splayed_hmn_v1
🖐️􁘟 hand_splayed_hmn_v2
🖐️􁘠 hand_splayed_hmn_v3
🖐️􁘡 hand_splayed_hmn_m1
🖐️􁘢 hand_splayed_hmn_m2
🖐️􁘣 hand_splayed_hmn_m3
🖐️􁘤 hand_splayed_hmn_p1
🖐️􁘥 hand_splayed_hmn_p2
🖐️􁘦 hand_splayed_hmn_p3
🖐️􁘧 hand_splayed_hmn_e1
🖐️􁘨 hand_splayed_hmn_e2
🖐️􁘩 hand_splayed_hmn_e3
🖐️􁘪 hand_splayed_hmn_k1
🖐️􁘫 hand_splayed_hmn_k2
🖐️􁘬 hand_splayed_hmn_k3
🖐️🏿 hand_splayed_hmn_h1
🖐️🏾 hand_splayed_hmn_h2
🖐️🏽 hand_splayed_hmn_h3
🖐️🏼 hand_splayed_hmn_h4
🖐️🏻 hand_splayed_hmn_h5
🤚 back_of_hand_hmn
🤚􁘀 back_of_hand_hmn_r1
🤚􁘁 back_of_hand_hmn_r2
🤚􁘂 back_of_hand_hmn_r3
🤚􁘃 back_of_hand_hmn_d1
🤚􁘄 back_of_hand_hmn_d2
🤚􁘅 back_of_hand_hmn_d3
🤚􁘆 back_of_hand_hmn_o1
🤚􁘇 back_of_hand_hmn_o2
🤚􁘈 back_of_hand_hmn_o3
🤚􁘉 back_of_hand_hmn_y1
🤚􁘊 back_of_hand_hmn_y2
🤚􁘋 back_of_hand_hmn_y3
🤚􁘌 back_of_hand_hmn_l1
🤚􁘍 back_of_hand_hmn_l2
🤚􁘎 back_of_hand_hmn_l3
🤚􁘏 back_of_hand_hmn_g1
🤚􁘐 back_of_hand_hmn_g2
🤚􁘑 back_of_hand_hmn_g3
🤚􁘒 back_of_hand_hmn_t1
🤚􁘓 back_of_hand_hmn_t2
🤚􁘔 back_of_hand_hmn_t3
🤚􁘕 back_of_hand_hmn_c1
🤚􁘖 back_of_hand_hmn_c2
🤚􁘗 back_of_hand_hmn_c3
🤚􁘘 back_of_hand_hmn_s1
🤚􁘙 back_of_hand_hmn_s2
🤚􁘚 back_of_hand_hmn_s3
🤚􁘛 back_of_hand_hmn_b1
🤚􁘜 back_of_hand_hmn_b2
🤚􁘝 back_of_hand_hmn_b3
🤚􁘞 back_of_hand_hmn_v1
🤚􁘟 back_of_hand_hmn_v2
🤚􁘠 back_of_hand_hmn_v3
🤚􁘡 back_of_hand_hmn_m1
🤚􁘢 back_of_hand_hmn_m2
🤚􁘣 back_of_hand_hmn_m3
🤚􁘤 back_of_hand_hmn_p1
🤚􁘥 back_of_hand_hmn_p2
🤚􁘦 back_of_hand_hmn_p3
🤚􁘧 back_of_hand_hmn_e1
🤚􁘨 back_of_hand_hmn_e2
🤚􁘩 back_of_hand_hmn_e3
🤚􁘪 back_of_hand_hmn_k1
🤚􁘫 back_of_hand_hmn_k2
🤚􁘬 back_of_hand_hmn_k3
🤚🏿 back_of_hand_hmn_h1
🤚🏾 back_of_hand_hmn_h2
🤚🏽 back_of_hand_hmn_h3
🤚🏼 back_of_hand_hmn_h4
🤚🏻 back_of_hand_hmn_h5
✌️ v_hmn
✌️􁘀 v_hmn_r1
✌️􁘁 v_hmn_r2
✌️􁘂 v_hmn_r3
✌️􁘃 v_hmn_d1
✌️􁘄 v_hmn_d2
✌️􁘅 v_hmn_d3
✌️􁘆 v_hmn_o1
✌️􁘇 v_hmn_o2
✌️􁘈 v_hmn_o3
✌️􁘉 v_hmn_y1
✌️􁘊 v_hmn_y2
✌️􁘋 v_hmn_y3
✌️􁘌 v_hmn_l1
✌️􁘍 v_hmn_l2
✌️􁘎 v_hmn_l3
✌️􁘏 v_hmn_g1
✌️􁘐 v_hmn_g2
✌️􁘑 v_hmn_g3
✌️􁘒 v_hmn_t1
✌️􁘓 v_hmn_t2
✌️􁘔 v_hmn_t3
✌️􁘕 v_hmn_c1
✌️􁘖 v_hmn_c2
✌️􁘗 v_hmn_c3
✌️􁘘 v_hmn_s1
✌️􁘙 v_hmn_s2
✌️􁘚 v_hmn_s3
✌️􁘛 v_hmn_b1
✌️􁘜 v_hmn_b2
✌️􁘝 v_hmn_b3
